Date;Europe Brent Spot Price FOB (Dollars per Barrel)
Oct 05, 2016;49,57
Oct 06, 2016;50,14
Oct 07, 2016;50,49
Oct 10, 2016;51,54
Oct 11, 2016;50,48
Oct 12, 2016;49,53
Oct 13, 2016;49,29
Oct 14, 2016;48,87
Oct 17, 2016;49,31
Oct 18, 2016;49,81
Oct 19, 2016;51,85
Oct 20, 2016;50,42
Oct 21, 2016;50,28
Oct 24, 2016;49,8
Oct 25, 2016;49,08
Oct 26, 2016;48,98
Oct 27, 2016;49,13
Oct 28, 2016;47,78
Oct 31, 2016;46,2
Nov 01, 2016;45,77
Nov 02, 2016;44,26
Nov 03, 2016;43,84
Nov 04, 2016;43,06
Nov 07, 2016;42,83
Nov 08, 2016;43,47
Nov 09, 2016;43,88
Nov 10, 2016;43,67
Nov 11, 2016;41,61
Nov 14, 2016;41,83
Nov 15, 2016;44,15
Nov 16, 2016;45,07
Nov 17, 2016;44,57
Nov 18, 2016;44,41
Nov 21, 2016;45,96
Nov 22, 2016;46,1
Nov 23, 2016;46,54
Nov 24, 2016;47,54
Nov 25, 2016;46,32
Nov 28, 2016;46,64
Nov 29, 2016;44,68
Nov 30, 2016;47,95
Dec 01, 2016;52,28
Dec 02, 2016;52,35
Dec 05, 2016;53,3
Dec 06, 2016;52,31
Dec 07, 2016;51,9
Dec 08, 2016;51,6
Dec 09, 2016;52,19
Dec 12, 2016;53,99
Dec 13, 2016;53,28
Dec 14, 2016;53,15
Dec 15, 2016;51,72
Dec 16, 2016;54,15
Dec 19, 2016;53,53
Dec 20, 2016;54,56
Dec 21, 2016;53,01
Dec 22, 2016;54,04
Dec 23, 2016;53,93
Dec 28, 2016;54,95
Dec 29, 2016;54,97
Dec 30, 2016;54,96
Jan 03, 2017;55,05
Jan 04, 2017;54,57
Jan 05, 2017;54,99
Jan 06, 2017;55,9
Jan 09, 2017;54,39
Jan 10, 2017;53,2
Jan 11, 2017;53,61
Jan 12, 2017;54,51
Jan 13, 2017;54,37
Jan 16, 2017;54,3
Jan 17, 2017;54,68
Jan 18, 2017;53,77
Jan 19, 2017;53,18
Jan 20, 2017;55,04
Jan 23, 2017;54,8
Jan 24, 2017;54,7
Jan 25, 2017;54,34
Jan 26, 2017;55,89
Jan 27, 2017;54,8
Jan 30, 2017;54,77
Jan 31, 2017;55,25
Feb 01, 2017;55,79
Feb 02, 2017;55,94
Feb 03, 2017;55,92
Feb 06, 2017;55,02
Feb 07, 2017;53,79
Feb 08, 2017;54,42
Feb 09, 2017;53,98
Feb 10, 2017;55,2
Feb 13, 2017;54,15
Feb 14, 2017;54,96
Feb 15, 2017;54,57
Feb 16, 2017;54,16
Feb 17, 2017;54,48
Feb 20, 2017;55,25
Feb 21, 2017;56,34
Feb 22, 2017;54,9
Feb 23, 2017;55,82
Feb 24, 2017;54,69
Feb 27, 2017;54,65
Feb 28, 2017;53,36
Mar 01, 2017;55,72
Mar 02, 2017;54,16
Mar 03, 2017;54,12
Mar 06, 2017;54,73
Mar 07, 2017;54,61
Mar 08, 2017;53,3
Mar 09, 2017;50,65
Mar 10, 2017;50,63
Mar 13, 2017;50,1
Mar 14, 2017;49,6
Mar 15, 2017;50,63
Mar 16, 2017;50,56
Mar 17, 2017;50,58
Mar 20, 2017;50,67
Mar 21, 2017;50,14
Mar 22, 2017;49,56
Mar 23, 2017;50,17
Mar 24, 2017;49,97
Mar 27, 2017;50,12
Mar 28, 2017;50,72
Mar 29, 2017;51,36
Mar 30, 2017;52,25
Mar 31, 2017;52,2
Apr 03, 2017;52,04
Apr 04, 2017;53,08
Apr 05, 2017;53,41
Apr 06, 2017;53,62
Apr 07, 2017;54,24
Apr 10, 2017;54,79
Apr 11, 2017;54,73
Apr 12, 2017;54,75
Apr 13, 2017;55,05
Apr 17, 2017;54,79
Apr 18, 2017;52,6
Apr 19, 2017;52,43
Apr 20, 2017;50,66
Apr 21, 2017;49,93
Apr 24, 2017;49,45
Apr 25, 2017;49,37
Apr 26, 2017;49,99
Apr 27, 2017;49,46
Apr 28, 2017;49,46
May 01, 2017;50,41
May 02, 2017;49,31
May 03, 2017;48,82
May 04, 2017;47,53
May 05, 2017;47,45
May 08, 2017;46,61
May 09, 2017;47,06
May 10, 2017;48,09
May 11, 2017;49,18
May 12, 2017;49,08
May 15, 2017;51,29
May 16, 2017;51,21
May 17, 2017;51,76
May 18, 2017;51,71
May 19, 2017;52,78
May 22, 2017;53,35
May 23, 2017;53,19
May 24, 2017;53,29
May 25, 2017;52,25
May 26, 2017;50,84
May 29, 2017;52,25
May 30, 2017;50,65
May 31, 2017;49,4
Jun 01, 2017;50,41
Jun 02, 2017;48,46
Jun 05, 2017;48,25
Jun 06, 2017;48,11
Jun 07, 2017;47,08
Jun 08, 2017;46,3
Jun 09, 2017;46,64
Jun 12, 2017;47,18
Jun 13, 2017;46,95
Jun 14, 2017;45,47
Jun 15, 2017;45,61
Jun 16, 2017;45,7
Jun 19, 2017;45,93
Jun 20, 2017;43,98
Jun 21, 2017;44,62
Jun 22, 2017;44,46
Jun 23, 2017;44,14
Jun 26, 2017;44,09
Jun 27, 2017;46,17
Jun 28, 2017;46,45
Jun 29, 2017;47,02
Jun 30, 2017;47,08
Jul 03, 2017;49,13
Jul 04, 2017;49,15
Jul 05, 2017;47,58
Jul 06, 2017;48,53
Jul 07, 2017;46,47
Jul 10, 2017;46,57
Jul 11, 2017;46,68
Jul 12, 2017;46,73
Jul 13, 2017;47,65
Jul 14, 2017;47,89
Jul 17, 2017;47,66
Jul 18, 2017;47,92
Jul 19, 2017;48,34
Jul 20, 2017;48,54
Jul 21, 2017;47,47
Jul 24, 2017;47,81
Jul 25, 2017;49,19
Jul 26, 2017;50,08
Jul 27, 2017;50,67
Jul 28, 2017;52
Jul 31, 2017;51,99
Aug 01, 2017;50,77
Aug 02, 2017;52,09
Aug 03, 2017;52,88
Aug 04, 2017;52,48
Aug 07, 2017;51,42
Aug 08, 2017;52,18
Aug 09, 2017;52,16
Aug 10, 2017;52,59
Aug 11, 2017;51,47
Aug 14, 2017;51,29
Aug 15, 2017;49,9
Aug 16, 2017;50,39
Aug 17, 2017;50,37
Aug 18, 2017;50,96
Aug 21, 2017;51,94
Aug 22, 2017;52,29
Aug 23, 2017;52,31
Aug 24, 2017;51,73
Aug 25, 2017;51,87
Aug 28, 2017;51,87
Aug 29, 2017;51,64
Aug 30, 2017;51,91
Aug 31, 2017;52,69
Sep 01, 2017;53,15
Sep 04, 2017;52,6
Sep 05, 2017;53,63
Sep 06, 2017;54,48
Sep 07, 2017;54,16
Sep 08, 2017;54,55
Sep 11, 2017;54,2
Sep 12, 2017;55,06
Sep 13, 2017;55,52
Sep 14, 2017;56,76
Sep 15, 2017;56,18
Sep 18, 2017;55,5
Sep 19, 2017;56,58
Sep 20, 2017;57,2
Sep 21, 2017;57,73
Sep 22, 2017;58,16
Sep 25, 2017;59,42
Sep 26, 2017;59,77
Sep 27, 2017;58,74
Sep 28, 2017;58,8
Sep 29, 2017;57,02
Oct 02, 2017;55,67
Oct 03, 2017;56,12
Oct 04, 2017;56
Oct 05, 2017;57,09
Oct 06, 2017;55,5
Oct 09, 2017;55,29
Oct 10, 2017;56,62
Oct 11, 2017;56,13
Oct 12, 2017;56,13
Oct 13, 2017;56,86
Oct 16, 2017;57,49
Oct 17, 2017;57,63
Oct 18, 2017;58,05
Oct 19, 2017;57,82
Oct 20, 2017;57,89
Oct 23, 2017;57,69
Oct 24, 2017;57,84
Oct 25, 2017;58,45
Oct 26, 2017;58,75
Oct 27, 2017;60,15
Oct 30, 2017;60,65
Oct 31, 2017;61,35
Nov 01, 2017;60,98
Nov 02, 2017;60,79
Nov 03, 2017;61,42
Nov 06, 2017;64,27
Nov 07, 2017;64,36
Nov 08, 2017;63,96
Nov 09, 2017;64,49
Nov 10, 2017;64,35
Nov 13, 2017;62,94
Nov 14, 2017;60,91
Nov 15, 2017;61,25
Nov 16, 2017;61,18
Nov 17, 2017;61,34
Nov 20, 2017;61,34
Nov 21, 2017;62,28
Nov 22, 2017;62,92
Nov 23, 2017;63,27
Nov 24, 2017;63,58
Nov 27, 2017;63,25
Nov 28, 2017;63,56
Nov 29, 2017;63,74
Nov 30, 2017;63,53
Dec 01, 2017;64,57
Dec 04, 2017;63,45
Dec 05, 2017;63,45
Dec 06, 2017;62,25
Dec 07, 2017;62,37
Dec 08, 2017;63,86
Dec 11, 2017;65,62
Dec 12, 2017;64,96
Dec 13, 2017;63,66
Dec 14, 2017;63,72
Dec 15, 2017;63,81
Dec 18, 2017;64,45
Dec 19, 2017;63,69
Dec 20, 2017;64,43
Dec 21, 2017;64,64
Dec 22, 2017;64,61
Dec 27, 2017;66,03
Dec 28, 2017;66,8
Dec 29, 2017;66,73
Jan 02, 2018;66,65
Jan 03, 2018;67,85
Jan 04, 2018;68,73
Jan 05, 2018;68,01
Jan 08, 2018;68,48
Jan 09, 2018;69,08
